id,sentiment
32823,neutral
16298,neutral
28505,neutral
6689,neutral
26893,neutral
36572,neutral
12335,neutral
29591,neutral
18948,neutral
31067,neutral
22241,neutral
13787,neutral
5128,neutral
9125,neutral
35041,neutral
3510,neutral
16441,neutral
19463,neutral
26283,neutral
36216,neutral
17407,neutral
10919,neutral
30866,neutral
34436,neutral
12701,neutral
35676,neutral
34089,neutral
21261,neutral
26173,neutral
28283,neutral
37266,neutral
32506,neutral
33381,neutral
39380,neutral
20845,neutral
252,neutral
35119,neutral
3434,neutral
1278,neutral
8285,neutral
15215,neutral
2624,neutral
3698,neutral
6039,neutral
4095,neutral
39574,neutral
14775,neutral
39974,neutral
14518,neutral
314,neutral
5787,neutral
10859,neutral
20809,neutral
22987,neutral
27031,neutral
14998,neutral
38588,neutral
33052,neutral
27996,neutral
28904,neutral
28177,neutral
32862,neutral
35302,neutral
31370,neutral
22667,neutral
24533,neutral
1566,neutral
12296,neutral
34134,neutral
16810,neutral
14470,neutral
27084,neutral
21047,neutral
36979,neutral
32734,neutral
32798,neutral
22898,neutral
4859,neutral
8648,neutral
38406,neutral
38975,neutral
3719,neutral
15280,neutral
13125,neutral
24168,neutral
31578,neutral
15146,neutral
31543,neutral
25649,neutral
37863,neutral
29169,neutral
14075,neutral
20451,neutral
9536,neutral
10642,neutral
30745,neutral
4750,neutral
36513,neutral
24787,neutral
7306,neutral
13143,neutral
27415,neutral
25484,neutral
1484,neutral
35900,neutral
13253,neutral
8891,neutral
23163,neutral
8895,neutral
26782,neutral
34569,neutral
816,neutral
6401,neutral
1464,neutral
27809,neutral
37677,neutral
6275,neutral
28737,neutral
2507,neutral
21746,neutral
34165,neutral
11897,neutral
4178,neutral
28722,neutral
21802,neutral
23587,neutral
625,neutral
19903,neutral
23138,neutral
26907,neutral
14857,neutral
31835,neutral
16367,neutral
3705,neutral
6224,neutral
20856,neutral
35489,neutral
4273,neutral
16293,neutral
39520,neutral
6892,neutral
28785,neutral
12619,neutral
18636,neutral
9801,neutral
9836,neutral
17162,neutral
15395,neutral
734,neutral
36023,neutral
20962,neutral
32044,neutral
34194,neutral
32370,neutral
33013,neutral
19822,neutral
18529,neutral
8153,neutral
4741,neutral
34382,neutral
38990,neutral
11854,neutral
8476,neutral
30441,neutral
38327,neutral
6596,neutral
22991,neutral
14803,neutral
5373,neutral
25796,neutral
38261,neutral
34487,neutral
36135,neutral
7481,neutral
15199,neutral
30361,neutral
6521,neutral
15468,neutral
19591,neutral
32377,neutral
28680,neutral
25456,neutral
35770,neutral
23096,neutral
20818,neutral
10080,neutral
21151,neutral
23659,neutral
33372,neutral
25949,neutral
18068,neutral
38064,neutral
23738,neutral
21789,neutral
27296,neutral
17047,neutral
36949,neutral
5525,neutral
35929,neutral
23530,neutral
9207,neutral
19174,neutral
17176,neutral
32704,neutral
13596,neutral
21671,neutral
9312,neutral
31863,neutral
953,neutral
15686,neutral
465,neutral
19649,neutral
20297,neutral
32489,neutral
21443,neutral
34428,neutral
30291,neutral
39029,neutral
36574,neutral
23732,neutral
24823,neutral
10026,neutral
13962,neutral
4056,neutral
30044,neutral
28501,neutral
19237,neutral
35521,neutral
11212,neutral
28232,neutral
35914,neutral
25661,neutral
38732,neutral
3108,neutral
29644,neutral
11198,neutral
34600,neutral
6550,neutral
20004,neutral
3438,neutral
7431,neutral
32585,neutral
23981,neutral
33117,neutral
19662,neutral
29713,neutral
14121,neutral
5683,neutral
6216,neutral
9701,neutral
7369,neutral
14867,neutral
1487,neutral
27647,neutral
23971,neutral
38027,neutral
24750,neutral
28672,neutral
31861,neutral
23087,neutral
21287,neutral
32681,neutral
38553,neutral
6072,neutral
36916,neutral
14913,neutral
7414,neutral
4867,neutral
9590,neutral
8191,neutral
28438,neutral
25753,neutral
27640,neutral
8986,neutral
17306,neutral
20944,neutral
4280,neutral
7852,neutral
18314,neutral
30231,neutral
4217,neutral
1392,neutral
2915,neutral
26192,neutral
27625,neutral
6946,neutral
7656,neutral
17990,neutral
9535,neutral
14712,neutral
12235,neutral
38599,neutral
25295,neutral
8054,neutral
15953,neutral
27059,neutral
34568,neutral
30690,neutral
25545,neutral
11641,neutral
30888,neutral
38610,neutral
27150,neutral
28342,neutral
16794,neutral
5183,neutral
2494,neutral
31545,neutral
8248,neutral
6839,neutral
30997,neutral
27030,neutral
109,neutral
30588,neutral
15259,neutral
36153,neutral
22428,neutral
15497,neutral
39191,neutral
25404,neutral
12933,neutral
32609,neutral
26726,neutral
36532,neutral
9595,neutral
23166,neutral
13019,neutral
5478,neutral
22761,neutral
5882,neutral
34398,neutral
17967,neutral
14668,neutral
1402,neutral
